Name,Code,Ks,P / E,FRV,泡沫程度
奇偶,3356,0.052,19.23,50.57,0.577
志聖,2467,0.047,21.28,80.44,0.656
群翊,6664,0.056,17.86,124.31,0.559
迅得,6438,0.052,19.23,147.69,0.662
大量,3167,0.056,17.86,66.62,0.937
大田,8924,0.050,20.00,265.60,0.616
申豐,6582,0.057,17.54,589.15,0.498
世紀鋼,9958,0.053,18.87,143.03,0.870
華碩,2357,0.061,16.39,774.92,0.494
技嘉,2376,0.050,20.00,252.40,0.440
微星,2377,0.046,21.74,348.27,0.480
興富發,2542,0.085,11.76,77.85,0.545
冠德,2520,0.048,20.83,119.56,0.314
遠雄建,5522,0.048,20.83,115.40,0.499
仁寶,2353,0.050,20.00,50.40,0.449
和碩,4938,0.063,15.87,118.07,0.612
英業達,2356,0.048,20.83,52.28,0.483
緯創,3231,0.060,16.67,54.51,0.553
廣達,2382,0.049,20.41,166.14,0.518
