,func,url,url_f
0,信用卡總覽,/TSB/personal/credit/intro/overview/,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/
1,信用卡推薦,/TSB/personal/credit/intro/choose/,https://www.taishinbank.com.tw/TSB/personal/credit/intro/choose/
2,簽帳金融卡,/TSB/personal/credit/intro/payment/,https://www.taishinbank.com.tw/TSB/personal/credit/intro/payment/
3,信用卡權益,/TSB/personal/credit/intro/rights/,https://www.taishinbank.com.tw/TSB/personal/credit/intro/rights/
4,刷卡優惠,/TSB/personal/credit/discount/favorable/,https://www.taishinbank.com.tw/TSB/personal/credit/discount/favorable/
5,活動登錄,/TSB/personal/credit/discount/active/,https://www.taishinbank.com.tw/TSB/personal/credit/discount/active/
6,紅利點數,/TSB/personal/credit/discount/reward/,https://www.taishinbank.com.tw/TSB/personal/credit/discount/reward/
7,生活大師,/TSB/personal/credit/discount/life/,https://www.taishinbank.com.tw/TSB/personal/credit/discount/life/
8,分期0利率/特約商店,/TSB/personal/credit/discount/special-store/,https://www.taishinbank.com.tw/TSB/personal/credit/discount/special-store/
9,線上辦卡,/TSB/personal/credit/online-apply/card/,https://www.taishinbank.com.tw/TSB/personal/credit/online-apply/card/
10,信用卡線上補件,/TSB/personal/credit/online-apply/patch/,https://www.taishinbank.com.tw/TSB/personal/credit/online-apply/patch/
11,辦卡進度,/TSB/personal/credit/online-apply/inquire/,https://www.taishinbank.com.tw/TSB/personal/credit/online-apply/inquire/
12,首刷禮查詢,/TSB/personal/credit/online-apply/creditcard-Churner/,https://www.taishinbank.com.tw/TSB/personal/credit/online-apply/creditcard-Churner/
13,申辦電子/行動帳單,/TSB/personal/credit/online-apply/e-bill/,https://www.taishinbank.com.tw/TSB/personal/credit/online-apply/e-bill/
14,繳納生活帳單,/TSB/personal/credit/online-apply/payment/,https://www.taishinbank.com.tw/TSB/personal/credit/online-apply/payment/
15,信用卡收單服務,/TSB/personal/credit/online-apply/acquirer-service/,https://www.taishinbank.com.tw/TSB/personal/credit/online-apply/acquirer-service/
16,調升信用卡額度,/TSB/personal/credit/loan/increase/,https://www.taishinbank.com.tw/TSB/personal/credit/loan/increase/
17,消費分期,/TSB/personal/credit/loan/staging/,https://www.taishinbank.com.tw/TSB/personal/credit/loan/staging/
18,單筆預借現金,/TSB/personal/credit/loan/Cash-advance/,https://www.taishinbank.com.tw/TSB/personal/credit/loan/Cash-advance/
19,分期預借現金 <br>(吉時金),/TSB/personal/credit/loan/Installment-cash/,https://www.taishinbank.com.tw/TSB/personal/credit/loan/Installment-cash/
20,卡費代償,/TSB/personal/credit/loan/balance/,https://www.taishinbank.com.tw/TSB/personal/credit/loan/balance/
21,簽署分期約定書,/TSB/personal/credit/loan/agreement/,https://www.taishinbank.com.tw/TSB/personal/credit/loan/agreement/
22,外籍人士辦卡,/TSB/personal/credit/-00001/foreigner-card/,https://www.taishinbank.com.tw/TSB/personal/credit/-00001/foreigner-card/
23,信用卡爭議款,/TSB/personal/credit/-00001/card-spending-dispute/,https://www.taishinbank.com.tw/TSB/personal/credit/-00001/card-spending-dispute/
